time;stockInWarehouse;stockInFinalDest;numberOfBatchLargeToAverage;numberOfBatchAverageToSmall;numberOfBatchSmallToFinal;numberOfBatchProviderToLarge;totalNumberOfBatch;stockOnRoadsProviderToLarge;stockOnRoadsLargeToAverage;stockOnRoadsAverageToSmall;stockOnRoadsSmallToFinal;stockOnRoads
42,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
43,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
44,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
45,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
46,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
47,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
48,0; 2994748,6040991964;479132,97862000007;134;384;2652;121;3291; 13007,992286; 8643,49881845; 14593,286574999995; 68054,41871395004;104299,19639340004
49,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
50,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
51,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
52,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
53,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
54,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
55,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
56,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
57,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
58,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
59,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
60,0; 2936794,2727031;527534,7226769998;110;242;1304;83;1739; 10294,291565000001; 4973,56285; 11183,053199999998; 39814,95932844999;66265,86694344999
