time;stockInWarehouse;stockInFinalDest;stockOnRoads;numberOfBatchLargeToAverage;numberOfBatchAverageToSmall;numberOfBatchSmallToFinal;numberOfBatchProviderToLarge
262800,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
266400,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
270000,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
273600,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
277200,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
280800,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
284400,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
288000,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
291600,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
295200,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
298800,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
302400,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
306000,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
309600,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
313200,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
316800,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
320400,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
324000,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
327600,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
331200,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
334800,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
338400,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
342000,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
345600,0; 2782890,794719003;539826,4699949003;174023,8139299999;165;303;1278;82
349200,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
352800,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
356400,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
360000,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
363600,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
367200,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
370800,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
374400,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
378000,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
381600,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
385200,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
388800,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
392400,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
396000,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
399600,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
403200,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
406800,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
410400,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
414000,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
417600,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
421200,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
424800,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
428400,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
432000,0; 2737947,3161879005;559635,3343809004;146714,04116920015;152;296;1238;83
435600,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
439200,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
442800,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
446400,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
450000,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
453600,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
457200,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
460800,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
464400,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
468000,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
471600,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
475200,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
478800,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
482400,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
486000,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
489600,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
493200,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
496800,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
500400,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
504000,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
507600,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
511200,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
514800,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
518400,0; 2685610,2769300053;589803,5168609999;134102,2012630001;142;269;1000;89
522000,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
525600,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
529200,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
532800,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
536400,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
540000,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
543600,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
547200,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
550800,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
554400,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
558000,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
561600,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
565200,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
568800,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
572400,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
576000,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
579600,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
583200,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
586800,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
590400,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
594000,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
597600,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
601200,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
604800,0; 2647271,931215005;599729,825181;129464,396958;163;312;985;79
608400,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
612000,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
615600,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
619200,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
622800,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
626400,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
630000,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
633600,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
637200,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
640800,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
644400,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
648000,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
651600,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
655200,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
658800,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
662400,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
666000,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
669600,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
673200,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
676800,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
680400,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
684000,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
687600,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
691200,0; 2597820,6879600026;613138,074021;140286,62310999993;191;297;891;81
694800,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
698400,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
702000,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
705600,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
709200,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
712800,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
716400,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
720000,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
723600,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
727200,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
730800,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
734400,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
738000,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
741600,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
745200,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
748800,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
752400,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
756000,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
759600,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
763200,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
766800,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
770400,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
774000,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
777600,0; 2603790,8824500013;623884,0860910004;86864,07315899989;157;243;831;90
781200,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
784800,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
788400,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
792000,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
795600,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
799200,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
802800,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
806400,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
810000,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
813600,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
817200,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
820800,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
824400,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
828000,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
831600,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
835200,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
838800,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
842400,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
846000,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
849600,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
853200,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
856800,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
860400,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
864000,0; 2563365,2087499965;632081,5756109998;106330,61499000006;157;253;710;91
867600,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
871200,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
874800,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
878400,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
882000,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
885600,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
889200,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
892800,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
896400,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
900000,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
903600,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
907200,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
910800,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
914400,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
918000,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
921600,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
925200,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
928800,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
932400,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
936000,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
939600,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
943200,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
946800,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
950400,0; 2570148,109440002;628897,7103910001;79743,59378000001;156;255;679;73
954000,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
957600,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
961200,0; 2553414,1451480007;625808,2994909999;75967,205942;161;230;609;75
